iteracion,COMPRAR_100,COMPRAR_75,COMPRAR_50,COMPRAR_25,COMPRAR_10,MANTENER,VENDER_10,VENDER_25,VENDER_50,VENDER_75,VENDER_100
56,0.0,0.113101,0.058243,0.151625,0.046014,0.259637,0.417386,0.513421,0.470005,0.273849,0.078035
57,0.0,0.113101,0.058243,0.151625,0.046014,0.259637,0.417386,0.518044,0.470005,0.273849,0.078035
58,0.0,0.113101,0.058243,0.184874,0.046014,0.259637,0.417386,0.518044,0.470005,0.273849,0.078035
59,0.0,0.113101,0.058243,0.184874,0.046014,0.259637,0.417386,0.518044,0.466268,0.273849,0.078035
60,0.0,0.089814,0.058243,0.184874,0.046014,0.259637,0.417386,0.518044,0.466268,0.273849,0.078035
61,0.0,0.089814,0.058243,0.184874,0.046014,0.246647,0.417386,0.518044,0.466268,0.273849,0.078035
62,0.0,0.089814,0.058243,0.184874,0.046014,0.246647,0.417386,0.477808,0.466268,0.273849,0.078035
63,0.0,0.089814,0.058243,0.184874,0.046014,0.246647,0.417386,0.477808,0.466268,0.273849,-0.060328
64,0.0,0.089814,0.058243,0.184874,0.046014,0.246647,0.354842,0.477808,0.466268,0.273849,-0.060328
65,0.0,0.089814,0.046705,0.184874,0.046014,0.246647,0.354842,0.477808,0.466268,0.273849,-0.060328
66,0.0,0.089814,0.046705,0.184874,0.098004,0.246647,0.354842,0.477808,0.466268,0.273849,-0.060328
67,0.0,0.089814,0.046705,0.184874,0.098004,0.246647,0.354842,0.477808,0.41446,0.273849,-0.060328
68,0.0,0.089814,0.046705,0.272201,0.098004,0.246647,0.354842,0.477808,0.41446,0.273849,-0.060328
69,0.0,0.089814,0.046705,0.272201,0.098004,0.246647,0.354842,0.477808,0.41446,0.288393,-0.060328
70,0.0,0.089814,0.046705,0.346799,0.098004,0.246647,0.354842,0.477808,0.41446,0.288393,-0.060328
71,0.0,0.089814,0.046705,0.346799,0.098004,0.246647,0.354842,0.477808,0.41446,0.288393,-0.060328
72,0.0,0.089814,0.046705,0.346799,0.098004,0.246647,0.354842,0.489584,0.41446,0.288393,-0.060328
73,0.0,0.089814,0.046705,0.482246,0.098004,0.246647,0.354842,0.489584,0.41446,0.288393,-0.060328
74,0.0,0.089814,0.046705,0.41768,0.098004,0.246647,0.354842,0.489584,0.41446,0.288393,-0.060328
75,0.0,0.089814,0.046705,0.41768,0.098004,0.169917,0.354842,0.489584,0.41446,0.288393,-0.060328
76,0.0,0.089814,0.046705,0.41768,0.098004,0.169917,0.354842,0.569293,0.41446,0.288393,-0.060328
77,0.0,0.089814,0.046705,0.41768,0.098004,0.169917,0.354842,0.521852,0.41446,0.288393,-0.060328
78,0.0,0.089814,0.046705,0.41768,0.086352,0.169917,0.354842,0.521852,0.41446,0.288393,-0.060328
79,0.0,0.132182,0.046705,0.41768,0.086352,0.169917,0.354842,0.521852,0.41446,0.288393,-0.060328
80,0.0,0.132182,0.046705,0.41768,0.086352,0.169917,0.354842,0.521852,0.41446,0.252344,-0.060328
81,0.0,0.132182,0.046705,0.381209,0.086352,0.169917,0.354842,0.521852,0.41446,0.252344,-0.060328
