iteracion,COMPRAR_100,COMPRAR_75,COMPRAR_50,COMPRAR_25,COMPRAR_10,MANTENER,VENDER_10,VENDER_25,VENDER_50,VENDER_75,VENDER_100
56,-0.006541,0.060996,0.103652,0.579035,0.345585,0.472117,0.506369,0.424347,0.622605,0.698011,0.666479
57,-0.006541,0.060996,0.103652,0.579035,0.345585,0.472117,0.506369,0.424347,0.649768,0.698011,0.666479
58,-0.006541,0.060996,0.103652,0.579035,0.345585,0.472117,0.465177,0.424347,0.649768,0.698011,0.666479
59,-0.006541,0.060996,0.103652,0.579035,0.345585,0.472117,0.465177,0.424347,0.649768,0.610759,0.666479
60,-0.006541,0.060996,0.169121,0.579035,0.345585,0.472117,0.465177,0.424347,0.649768,0.610759,0.666479
61,-0.006541,0.060996,0.169121,0.579035,0.345585,0.398307,0.465177,0.424347,0.649768,0.610759,0.666479
62,-0.006541,0.060996,0.169121,0.579035,0.345585,0.398307,0.465177,0.424347,0.649768,0.610759,0.583169
63,-0.006541,0.060996,0.169121,0.579035,0.345585,0.398307,0.465177,0.424347,0.620714,0.610759,0.583169
64,-0.006541,0.143668,0.169121,0.579035,0.345585,0.398307,0.465177,0.424347,0.620714,0.610759,0.583169
65,-0.006541,0.143668,0.169121,0.579035,0.345585,0.398307,0.465177,0.403105,0.620714,0.610759,0.583169
66,-0.006541,0.143668,0.169121,0.533658,0.345585,0.398307,0.465177,0.403105,0.620714,0.610759,0.583169
67,-0.004906,0.143668,0.169121,0.533658,0.345585,0.398307,0.465177,0.403105,0.620714,0.610759,0.583169
68,-0.004906,0.143668,0.169121,0.533658,0.345585,0.398307,0.589108,0.403105,0.620714,0.610759,0.583169
69,-0.004906,0.143668,0.169121,0.533658,0.345585,0.398307,0.51547,0.403105,0.620714,0.610759,0.583169
70,-0.004906,0.143668,0.169121,0.533658,0.345585,0.398307,0.51547,0.403105,0.638104,0.610759,0.583169
71,-0.004906,0.143668,0.169121,0.533658,0.357596,0.398307,0.51547,0.403105,0.638104,0.610759,0.583169
72,-0.004906,0.143668,0.169121,0.533658,0.357596,0.398307,0.51547,0.403105,0.638104,0.556399,0.583169
73,-0.004906,0.143668,0.206987,0.533658,0.357596,0.398307,0.51547,0.403105,0.638104,0.556399,0.583169
74,-0.004906,0.143668,0.206987,0.533658,0.357596,0.398307,0.51547,0.403105,0.638104,0.556399,0.641621
75,-0.004906,0.143668,0.206987,0.533658,0.357596,0.398307,0.51547,0.403105,0.638104,0.556399,0.595518
76,-0.004906,0.143668,0.206987,0.533658,0.357596,0.398307,0.51547,0.403105,0.574293,0.556399,0.595518
77,-0.004906,0.151271,0.206987,0.533658,0.357596,0.398307,0.51547,0.403105,0.574293,0.556399,0.595518
78,-0.004906,0.151271,0.206987,0.533658,0.357596,0.398307,0.51547,0.406573,0.574293,0.556399,0.595518
79,-0.004906,0.151271,0.206987,0.533658,0.357596,0.473814,0.51547,0.406573,0.574293,0.556399,0.595518
80,-0.004906,0.151271,0.206987,0.533658,0.357596,0.414587,0.51547,0.406573,0.574293,0.556399,0.595518
81,-0.004906,0.151271,0.206987,0.474363,0.357596,0.414587,0.51547,0.406573,0.574293,0.556399,0.595518
82,-0.004906,0.151271,0.206987,0.474363,0.306511,0.414587,0.51547,0.406573,0.574293,0.556399,0.595518
83,-0.004906,0.151271,0.206987,0.474363,0.306511,0.414587,0.526596,0.406573,0.574293,0.556399,0.595518
84,-0.004906,0.151271,0.206987,0.474363,0.306511,0.414587,0.526596,0.406573,0.574293,0.493619,0.595518
85,-0.004906,0.151271,0.394767,0.474363,0.306511,0.414587,0.526596,0.406573,0.574293,0.493619,0.595518
86,-0.004906,0.151271,0.341478,0.474363,0.306511,0.414587,0.526596,0.406573,0.574293,0.493619,0.595518
87,-0.004906,0.151271,0.341478,0.474363,0.306511,0.414587,0.526596,0.406573,0.574293,0.493619,0.505499
88,-0.004906,0.151271,0.341478,0.474363,0.306511,0.414587,0.526596,0.436983,0.574293,0.493619,0.505499
89,-0.004906,0.151271,0.341478,0.474363,0.306511,0.414587,0.536469,0.436983,0.574293,0.493619,0.505499
90,-0.004906,0.151271,0.341478,0.474363,0.306511,0.414587,0.536469,0.436983,0.602328,0.493619,0.505499
91,-0.004906,0.151271,0.341478,0.474363,0.306511,0.414587,0.536469,0.436983,0.630292,0.493619,0.505499
92,-0.004906,0.151271,0.341478,0.474363,0.306511,0.414587,0.536469,0.440924,0.630292,0.493619,0.505499
93,-0.003925,0.151271,0.341478,0.474363,0.306511,0.414587,0.536469,0.440924,0.630292,0.493619,0.505499
94,-0.003925,0.151271,0.341478,0.474363,0.306511,0.414587,0.536469,0.440924,0.602914,0.493619,0.505499
95,-0.003925,0.194455,0.341478,0.474363,0.306511,0.414587,0.536469,0.440924,0.602914,0.493619,0.505499
96,-0.003925,0.194455,0.341478,0.474363,0.306511,0.414587,0.59252,0.440924,0.602914,0.493619,0.505499
97,-0.003925,0.194455,0.341478,0.474363,0.306511,0.414587,0.572941,0.440924,0.602914,0.493619,0.505499
98,-0.003925,0.194455,0.323057,0.474363,0.306511,0.414587,0.572941,0.440924,0.602914,0.493619,0.505499
99,-0.003925,0.194455,0.323057,0.474363,0.306511,0.398242,0.572941,0.440924,0.602914,0.493619,0.505499
100,-0.003925,0.194455,0.323057,0.447808,0.306511,0.398242,0.572941,0.440924,0.602914,0.493619,0.505499
101,-0.003925,0.194455,0.323057,0.447808,0.295791,0.398242,0.572941,0.440924,0.602914,0.493619,0.505499
102,-0.003925,0.194455,0.323057,0.447808,0.295791,0.398242,0.572941,0.440924,0.602914,0.44633,0.505499
103,-0.003925,0.194455,0.323057,0.447808,0.295791,0.398242,0.572941,0.396832,0.602914,0.44633,0.505499
104,-0.003925,0.194455,0.323057,0.447808,0.295791,0.398242,0.571083,0.396832,0.602914,0.44633,0.505499
105,-0.003925,0.194455,0.323057,0.447808,0.295791,0.398242,0.571083,0.396832,0.600993,0.44633,0.505499
106,-0.003925,0.233771,0.323057,0.447808,0.295791,0.398242,0.571083,0.396832,0.600993,0.44633,0.505499
107,-0.003925,0.233771,0.323057,0.447808,0.295791,0.398242,0.571083,0.396832,0.600993,0.44633,0.551824
108,-0.003925,0.233771,0.323057,0.447808,0.295791,0.398242,0.571083,0.396832,0.600993,0.44633,0.521501
109,-0.003925,0.233771,0.323057,0.447808,0.295791,0.398242,0.541449,0.396832,0.600993,0.44633,0.521501
110,-0.003925,0.233771,0.323057,0.447808,0.295791,0.398242,0.541449,0.396832,0.630784,0.44633,0.521501
111,-0.003925,0.233771,0.323057,0.447808,0.295791,0.398242,0.541449,0.396832,0.666966,0.44633,0.521501
112,-0.003925,0.233771,0.323057,0.447808,0.295791,0.398242,0.541449,0.396832,0.657653,0.44633,0.521501
113,-0.003925,0.233771,0.323057,0.447808,0.295791,0.414397,0.541449,0.396832,0.657653,0.44633,0.521501
114,-0.003925,0.233771,0.323057,0.513159,0.295791,0.414397,0.541449,0.396832,0.657653,0.44633,0.521501
115,-0.003925,0.233771,0.323057,0.577786,0.295791,0.414397,0.541449,0.396832,0.657653,0.44633,0.521501
116,-0.003925,0.233771,0.323057,0.533341,0.295791,0.414397,0.541449,0.396832,0.657653,0.44633,0.521501
117,-0.003925,0.233771,0.322248,0.533341,0.295791,0.414397,0.541449,0.396832,0.657653,0.44633,0.521501
118,-0.003925,0.233771,0.322248,0.533341,0.295791,0.414397,0.541449,0.396832,0.666014,0.44633,0.521501
119,-0.003925,0.201969,0.322248,0.533341,0.295791,0.414397,0.541449,0.396832,0.666014,0.44633,0.521501
120,-0.003925,0.201969,0.322248,0.533341,0.295791,0.414397,0.541449,0.396832,0.661092,0.44633,0.521501
121,-0.003925,0.201969,0.322248,0.533341,0.295791,0.427986,0.541449,0.396832,0.661092,0.44633,0.521501
122,-0.003925,0.201969,0.322248,0.558991,0.295791,0.427986,0.541449,0.396832,0.661092,0.44633,0.521501
123,-0.003925,0.201969,0.322248,0.558991,0.275775,0.427986,0.541449,0.396832,0.661092,0.44633,0.521501
124,-0.003925,0.201969,0.322248,0.521725,0.275775,0.427986,0.541449,0.396832,0.661092,0.44633,0.521501
125,0.150575,0.201969,0.322248,0.521725,0.275775,0.427986,0.541449,0.396832,0.661092,0.44633,0.521501
126,0.129065,0.201969,0.322248,0.521725,0.275775,0.427986,0.541449,0.396832,0.661092,0.44633,0.521501
127,0.129065,0.201969,0.322248,0.521725,0.275775,0.427986,0.541449,0.396832,0.661092,0.44633,0.507032
128,0.129065,0.201969,0.322248,0.521725,0.275775,0.427986,0.541449,0.396832,0.661092,0.41556,0.507032
129,0.129065,0.201969,0.322248,0.521725,0.275775,0.427986,0.541449,0.380168,0.661092,0.41556,0.507032
130,0.129065,0.201969,0.322248,0.521725,0.275775,0.427986,0.541449,0.380168,0.626486,0.41556,0.507032
131,0.129065,0.201969,0.322248,0.521725,0.275775,0.427986,0.522354,0.380168,0.626486,0.41556,0.507032
132,0.129065,0.201969,0.322248,0.521725,0.275775,0.380512,0.522354,0.380168,0.626486,0.41556,0.507032
133,0.129065,0.201969,0.306986,0.521725,0.275775,0.380512,0.522354,0.380168,0.626486,0.41556,0.507032
134,0.129065,0.201969,0.306986,0.521725,0.275775,0.380512,0.522354,0.380168,0.626486,0.41556,0.505452
135,0.129065,0.201969,0.306986,0.521725,0.275775,0.380512,0.561061,0.380168,0.626486,0.41556,0.505452
136,0.129065,0.201969,0.306986,0.521725,0.275775,0.380512,0.5354,0.380168,0.626486,0.41556,0.505452
137,0.129065,0.201969,0.306986,0.495698,0.275775,0.380512,0.5354,0.380168,0.626486,0.41556,0.505452
138,0.129065,0.201969,0.306986,0.495698,0.275775,0.380512,0.5354,0.380168,0.582423,0.41556,0.505452
139,0.129065,0.201969,0.306986,0.495698,0.275775,0.380512,0.5354,0.348785,0.582423,0.41556,0.505452
140,0.129065,0.201969,0.306986,0.495698,0.32279,0.380512,0.5354,0.348785,0.582423,0.41556,0.505452
141,0.129065,0.201969,0.306986,0.495698,0.32279,0.380512,0.5354,0.348785,0.582423,0.392505,0.505452
142,0.112932,0.201969,0.306986,0.495698,0.32279,0.380512,0.5354,0.348785,0.582423,0.392505,0.505452
143,0.112932,0.201969,0.306986,0.495698,0.374808,0.380512,0.5354,0.348785,0.582423,0.392505,0.505452
144,0.112932,0.201969,0.306986,0.495698,0.323903,0.380512,0.5354,0.348785,0.582423,0.392505,0.505452
145,0.112932,0.201969,0.306986,0.495698,0.323903,0.380512,0.5354,0.348785,0.582423,0.392505,0.48766
146,0.112932,0.221503,0.306986,0.495698,0.323903,0.380512,0.5354,0.348785,0.582423,0.392505,0.48766
147,0.112932,0.221503,0.277963,0.495698,0.323903,0.380512,0.5354,0.348785,0.582423,0.392505,0.48766
148,0.112932,0.221503,0.277963,0.495698,0.323903,0.380512,0.572161,0.348785,0.582423,0.392505,0.48766
149,0.112932,0.221503,0.277963,0.495698,0.323903,0.380512,0.544655,0.348785,0.582423,0.392505,0.48766
150,0.112932,0.221503,0.277963,0.495698,0.323903,0.440894,0.544655,0.348785,0.582423,0.392505,0.48766
151,0.112932,0.221503,0.277963,0.495698,0.323903,0.438175,0.544655,0.348785,0.582423,0.392505,0.48766
152,0.112932,0.221503,0.277963,0.468707,0.323903,0.438175,0.544655,0.348785,0.582423,0.392505,0.48766
153,0.112932,0.221503,0.277963,0.468707,0.323903,0.469175,0.544655,0.348785,0.582423,0.392505,0.48766
154,0.112932,0.221503,0.277963,0.468707,0.323903,0.442597,0.544655,0.348785,0.582423,0.392505,0.48766
155,0.112932,0.221503,0.277963,0.468707,0.323903,0.442597,0.544655,0.348785,0.582423,0.392505,0.463351
156,0.112932,0.200353,0.277963,0.468707,0.323903,0.442597,0.544655,0.348785,0.582423,0.392505,0.463351
157,0.112932,0.200353,0.277963,0.468707,0.323903,0.442597,0.544655,0.348785,0.631231,0.392505,0.463351
